replica,region,elapsed_min,network_rtt_ms,scrape_ms,num_running_reqs
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,0.0,42.3,27.7,0
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,0.516,36.1,26.5,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,1.032,34.1,24.9,4
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,1.545,30.2,22.9,3
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,2.048,27.8,21.9,4
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,2.564,24.4,19.4,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,3.073,27.5,35.4,5
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,3.583,25.1,21.8,3
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,4.086,23.6,24.5,2
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,4.591,21.7,22.4,0
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,5.102,26.3,40.1,2
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,5.619,27.5,27.7,3
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,6.128,31.0,38.7,6
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,6.634,28.2,22.5,4
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,7.144,25.8,24.6,7
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,7.648,29.2,39.1,6
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,8.158,25.6,20.0,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,8.667,23.8,27.1,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,9.171,26.4,26.7,3
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,9.674,24.5,21.5,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,10.179,27.7,35.8,4
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,10.689,25.0,22.1,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,11.208,22.9,20.4,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,11.716,21.4,21.0,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,12.226,20.1,20.0,2
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,12.729,19.9,22.4,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,13.233,19.8,22.0,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,13.741,24.6,38.1,8
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,14.251,24.0,26.2,10
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,14.773,22.8,23.8,1
ta-01kqtxa4z59a8vh6nfj5dg9k5r-,us-east,15.282,25.9,39.3,1
